SRC	GEN	GOLD_TAG	PRED_TAG	SYS
<s>الله<s>	<s>الله<s>	UC	UC	NA
<s>الحكام<s>	<s>الحكام<s>	UC	UC	NA
<s>العرب<s>	<s>العرب<s>	UC	UC	NA
<s>سيموت<s>	<s>سيموت<s>	UC	UC	NA
<s>على<s>	<s>على<s>	UC	UC	NA
<s>الكرسي<s>	<s>الكرسي<s>	UC	UC	NA
<s>ليضهر<s>	<s>ليضهر<s>	OR	OR	OOV
<s>أنه<s>	<s>أنه<s>	UC	UC	NA
<s>عنيد<s>	<s>عنيد<s>	UC	UC	NA
<s>وقوي<s>	<s>وقوي<s>	UC	UC	NA
<s>،<s>	<s>،<s>	PC	PC	OOV
<s>لوكان<s>	<s>لو كان<s>	MG	MG	CBR
<s>بشار<s>	<s>بشار<s>	UC	UC	NA
<s>يحب<s>	<s>يحب<s>	UC	UC	NA
<s>أرضه<s>	<s>أرضه<s>	UC	UC	NA
<s>أو<s>	<s>أو<s>	UC	UC	NA
<s>شعبه<s>	<s>شعبه<s>	UC	UC	NA
<s>لخرج<s>	<s>لخرج<s>	UC	UC	NA
<s>من<s>	<s>من<s>	UC	UC	NA
<s>الحكم<s>	<s>الحكم<s>	UC	UC	NA
<s>شفقة<s>	<s>شفقة<s>	UC	UC	NA
<s>ورحمة<s>	<s>ورحمة<s>	UC	UC	NA
<s>ببلد<s>	<s>ببلد<s>	UC	UC	NA
<s>ضاع<s>	<s>ضاع<s>	UC	UC	NA
<s>،<s>	<s>،<s>	PC	PC	OOV
<s>هنا<s>	<s>هنا<s>	UC	UC	NA
<s>زال<s>	<s>زال<s>	UC	UC	NA
<s>قناع<s>	<s>قناع<s>	UC	UC	NA
<s>هذا<s>	<s>هذا<s>	UC	UC	NA
<s>الرئيس<s>	<s>الرئيس<s>	UC	UC	NA
<s>اللذى<s>	<s>الذى<s>	OD	OD	CBR
<s>خيب<s>	<s>خيب<s>	UC	UC	NA
<s>ظن<s>	<s>ظن<s>	UC	UC	NA
<s>شعبه<s>	<s>شعبه<s>	UC	UC	NA
<s>والشعوب<s>	<s>والشعوب<s>	UC	UC	NA
<s>المسلمة<s>	<s>المسلمة<s>	UC	UC	NA
<s>،<s>	<s>،<s>	UC	UC	NA
<s>كل<s>	<s>كل<s>	UC	UC	NA
<s>مال<s>	<s>مال<s>	UC	UC	NA
<s>السورين<s>	<s>السورين<s>	UC	UC	NA
<s>نفق<s>	<s>نفق<s>	UC	UC	NA
<s>في<s>	<s>في<s>	UC	UC	NA
<s>شراء<s>	<s>شراء<s>	UC	UC	NA
<s>سلاح<s>	<s>سلاح<s>	UC	UC	NA
<s>ليقتل<s>	<s>ليقتل<s>	UC	UC	NA
<s>به<s>	<s>به<s>	UC	UC	NA
<s>،<s>	<s>،<s>	UC	UC	NA
<s>شتانا<s>	<s>شتانا<s>	XC	XC	OOV
<s>وحكام<s>	<s>وحكام<s>	UC	UC	NA
<s>أوربا<s>	<s>أوربا<s>	UC	UC	NA
<s>الذين<s>	<s>الذين<s>	UC	UC	NA
<s>يتركون<s>	<s>يتركون<s>	UC	UC	NA
<s>الكرسي<s>	<s>الكرسي<s>	UC	UC	NA
<s>لمجرد<s>	<s>لمجرد<s>	UC	UC	NA
<s>فتنة<s>	<s>فتنة<s>	UC	UC	NA
<s>بسيطة<s>	<s>بسيطة<s>	UC	UC	NA
<s>لحبهم<s>	<s>لحبهم<s>	UC	UC	NA
<s>لبلدهم<s>	<s>لبلدهم<s>	UC	UC	NA

<s>النصر<s>	<s>النصر<s>	UC	UC	NA
<s>آت<s>	<s>آت<s>	UC	UC	NA
<s>لا<s>	<s>لا<s>	UC	UC	NA
